date,description,amount,category
2024-10-04,Netflix,-15.99,Subscriptions
2024-10-05,Train,-89.00,Transport
2024-10-08,Coffee shop,-35.00,Dining
2024-10-10,Electricity,-88.00,Utilities
2024-10-15,Spotify,-9.99,Subscriptions
2024-10-16,Supermarket,-94.00,Groceries
2024-10-18,Train extra trip,-12.00,Transport
2024-10-22,Internet,-45.00,Utilities
2024-10-25,Gifts,-95.00,Shopping
2024-10-28,Halloween party,-40.00,Leisure
2024-11-01,Supermarket,-108.20,Groceries
2024-11-02,Rent November,-1200.00,Rent
2024-11-04,Netflix,-15.99,Subscriptions
2024-11-05,Train,-89.00,Transport
2024-11-10,Utilities,-95.00,Utilities
2024-11-12,Vitamins,-28.00,Health
2024-11-14,Restaurant,-72.00,Dining
2024-11-15,Spotify,-9.99,Subscriptions
2024-11-18,Supermarket,-91.50,Groceries
2024-11-20,Fuel,-58.00,Transport
2024-11-22,Internet,-45.00,Utilities
2024-11-26,Black Friday,-180.00,Shopping
2024-11-29,Cinema and food,-45.00,Leisure
2024-12-01,Supermarket,-115.00,Groceries
2024-12-02,Rent December,-1200.00,Rent
2024-12-04,Netflix,-15.99,Subscriptions
2024-12-05,Train,-89.00,Transport
2024-12-08,Holiday dinner,-130.00,Dining
2024-12-10,Electricity,-102.00,Utilities
2024-12-15,Spotify,-9.99,Subscriptions
2024-12-17,Supermarket,-98.00,Groceries
2024-12-19,Taxi from party,-32.00,Transport
2024-12-22,Internet,-45.00,Utilities
2024-12-24,Christmas gifts,-250.00,Shopping
2024-12-27,New Year party,-60.00,Leisure
